REGION,STATE,MONTH,VALUE
Southeast,Minas Gerais,DEC,5705.794842
North,Pará,JAN,4495.458333
North,Pará,FEB,4466.402778
North,Pará,MAR,4447.180556
North,Pará,APR,4454.583333
North,Pará,MAY,4606.493056
North,Pará,JUN,4865.659722
North,Pará,JUL,4944.131944
North,Pará,AUG,5311.277778
North,Pará,SEP,5314.027778
North,Pará,OCT,5138.319444
North,Pará,NOV,4977.659722
North,Pará,DEC,4648.354167
Northeast,Paraíba,JAN,5930.107623
Northeast,Paraíba,FEB,5956.255605
Northeast,Paraíba,MAR,5985.578475
Northeast,Paraíba,APR,5543.874439
Northeast,Paraíba,MAY,4930.008969
Northeast,Paraíba,JUN,4500.748879
Northeast,Paraíba,JUL,4705.506726
Northeast,Paraíba,AUG,5461.336323
Northeast,Paraíba,SEP,6021.44843
Northeast,Paraíba,OCT,6226.869955
Northeast,Paraíba,NOV,6403.349776
Northeast,Paraíba,DEC,6123.103139
South,Paraná,JAN,5946.035088
South,Paraná,FEB,5673.884712
South,Paraná,MAR,5151.160401
South,Paraná,APR,4357.513784
South,Paraná,MAY,3435.33584
South,Paraná,JUN,3064.43609
South,Paraná,JUL,3283.626566
South,Paraná,AUG,4248.989975
South,Paraná,SEP,4427.075188
South,Paraná,OCT,5160.932331
South,Paraná,NOV,5948.453634
South,Paraná,DEC,6260.606516
Northeast,Pernambuco,JAN,5925.641304
Northeast,Pernambuco,FEB,5861.179348
Northeast,Pernambuco,MAR,5877.505435
Northeast,Pernambuco,APR,5280.423913
Northeast,Pernambuco,MAY,4533.195652
Northeast,Pernambuco,JUN,4136.913043
Northeast,Pernambuco,JUL,4290.804348
Northeast,Pernambuco,AUG,5017.25
Northeast,Pernambuco,SEP,5751.494565
Northeast,Pernambuco,OCT,5997.684783
Northeast,Pernambuco,NOV,6297.994565
Northeast,Pernambuco,DEC,6156.831522
Northeast,Piauí,JAN,5433.982143
Northeast,Piauí,FEB,5416.65625
Northeast,Piauí,MAR,5392.620536
Northeast,Piauí,APR,5227.46875
Northeast,Piauí,MAY,5221.700893
Northeast,Piauí,JUN,5258.142857
Northeast,Piauí,JUL,5560.790179
Northeast,Piauí,AUG,6198.379464
Northeast,Piauí,SEP,6559.830357
Northeast,Piauí,OCT,6398.540179
Northeast,Piauí,NOV,6152.9375
Northeast,Piauí,DEC,5788.013393
Southeast,Rio de Janeiro,JAN,5917.793478
Southeast,Rio de Janeiro,FEB,6168.369565
Southeast,Rio de Janeiro,MAR,5023.184783
Southeast,Rio de Janeiro,APR,4402.543478
Southeast,Rio de Janeiro,MAY,3649.434783
Southeast,Rio de Janeiro,JUN,3412.326087
Southeast,Rio de Janeiro,JUL,3484.717391
Southeast,Rio de Janeiro,AUG,4295.793478
Southeast,Rio de Janeiro,SEP,4558.543478
Southeast,Rio de Janeiro,OCT,4979.347826
Southeast,Rio de Janeiro,NOV,4979.978261
Southeast,Rio de Janeiro,DEC,5758.684783
Northeast,Rio Grande do Norte,JAN,5940.315476
Northeast,Rio Grande do Norte,FEB,5980.184524
Northeast,Rio Grande do Norte,MAR,5980.565476
Northeast,Rio Grande do Norte,APR,5590.214286
Northeast,Rio Grande do Norte,MAY,5129.589286
Northeast,Rio Grande do Norte,JUN,4741.511905
Northeast,Rio Grande do Norte,JUL,4979.714286
Northeast,Rio Grande do Norte,AUG,5690.267857
Northeast,Rio Grande do Norte,SEP,6129.654762
Northeast,Rio Grande do Norte,OCT,6304.571429
Northeast,Rio Grande do Norte,NOV,6404.833333
Northeast,Rio Grande do Norte,DEC,6036.535714
South,Rio Grande do Sul,JAN,6303.28629
South,Rio Grande do Sul,FEB,5820.697581
South,Rio Grande do Sul,MAR,4949.358871
South,Rio Grande do Sul,APR,3920.052419
South,Rio Grande do Sul,MAY,2930.020161
South,Rio Grande do Sul,JUN,2440.092742
South,Rio Grande do Sul,JUL,2715.447581
South,Rio Grande do Sul,AUG,3455.90121
South,Rio Grande do Sul,SEP,3792.699597
South,Rio Grande do Sul,OCT,4925.695565
South,Rio Grande do Sul,NOV,6187.290323
South,Rio Grande do Sul,DEC,6601.028226
North,Rondônia,JAN,4432.576923
North,Rondônia,FEB,4412.846154
North,Rondônia,MAR,4442.076923
North,Rondônia,APR,4491.557692
North,Rondônia,MAY,4074.115385
North,Rondônia,JUN,4348.326923
North,Rondônia,JUL,4478.942308
North,Rondônia,AUG,4910.346154
North,Rondônia,SEP,4912.903846
North,Rondônia,OCT,5090.173077
North,Rondônia,NOV,4922.307692
North,Rondônia,DEC,4721.211538
North,Roraima,JAN,4627.333333
North,Roraima,FEB,4749.266667
North,Roraima,MAR,4941.2
North,Roraima,APR,4764
North,Roraima,MAY,4424.866667
North,Roraima,JUN,4614.933333
North,Roraima,JUL,4692.8
North,Roraima,AUG,5162.6
North,Roraima,SEP,5532.066667
